network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_21041017_30_59,ES.BDCA.AQD,-6.924620000000001,37.27148,EPSG:4979,ES1658A,STA_ES1658A,CAMPUS DEL CARMEN,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:52:56+01:00,2021-12-05 02:55:10+01:00,0,1,3,48,ug/m3
ES,NET_ES214A,CCAA Murcia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_30005002_30_59,ES.BDCA.AQD,-1.23083333,37.97555555000001,EPSG:4979,ES1627A,STA_ES1627A,ALCANTARILLA,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:47:47+01:00,2021-12-05 23:47:37+01:00,0.8,1,3,80,ug/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_20069006_30_59,ES.BDCA.AQD,-1.9808299999999999,43.312169999999995,EPSG:4979,ES2101A,STA_ES2101A,EASO,ES.BDCA.AQD,2021-12-05 00:00:00+01:00,2021-12-05 01:00:00+01:00,2021-12-05 00:57:48+01:00,2021-12-05 03:02:58+01:00,0.09,1,3,6,ug/m3
ES,NET_ES214A,CCAA Murcia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_30016020_30_59,ES.BDCA.AQD,-0.97527777,37.60305554999999,EPSG:4979,ES1921A,STA_ES1921A,MOMPEAN,ES.BDCA.AQD,2021-12-05 00:00:00+01:00,2021-12-05 01:00:00+01:00,2021-12-05 00:57:50+01:00,2021-12-05 01:55:53+01:00,0.02,1,3,10,ug/m3
ES,NET_ES203A,CCAA Asturias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_33031032_30_59,ES.BDCA.AQD,-5.6796,43.29409999999999,EPSG:4979,ES1353A,STA_ES1353A,SAMA I,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:52:57+01:00,2021-12-05 02:55:12+01:00,0.08,1,3,216,ug/m3
ES,NET_ES212A,CCAA Galicia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_36038010_30_59,ES.BDCA.AQD,-8.643995,42.425932,EPSG:4979,ES2061A,STA_ES2061A,CAMPOLONGO,ES.BDCA.AQD,2021-12-06 02:00:00+01:00,2021-12-06 03:00:00+01:00,2021-12-06 02:52:20+01:00,2021-12-06 11:59:28+01:00,,-1,3,15,ug/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_01059008_30_59,ES.BDCA.AQD,-2.6807,42.8548,EPSG:4979,ES1502A,STA_ES1502A,AVENIDA GASTEIZ,ES.BDCA.AQD,2021-12-05 16:00:00+01:00,2021-12-05 17:00:00+01:00,2021-12-05 16:58:48+01:00,2021-12-05 19:00:14+01:00,0.22,1,3,517,ug/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_28006004_30_59,ES.BDCA.AQD,-3.645253,40.540351,EPSG:4979,ES1564A,STA_ES1564A,ALCOBENDAS,ES.BDCA.AQD,2021-12-05 11:00:00+01:00,2021-12-05 12:00:00+01:00,2021-12-05 11:49:41+01:00,2021-12-05 12:46:15+01:00,0.3,1,3,671,ug/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_06083001_30_59,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2021-12-05 11:00:00+01:00,2021-12-05 12:00:00+01:00,2021-12-05 11:51:30+01:00,2021-12-05 12:52:50+01:00,0.8,1,3,214,ug/m3
ES,NET_ES208A,CCAA Castilla y León,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,C6H6,SP_09059003_30_59,ES.BDCA.AQD,-3.6755600000000004,42.35083,EPSG:4979,ES1160A,STA_ES1160A,BURGOS 1,ES.BDCA.AQD,2021-12-05 11:00:00+01:00,2021-12-05 12:00:00+01:00,2021-12-05 11:49:58+01:00,2021-12-05 12:48:00+01:00,0.2,1,3,929,ug/m3
