network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_03133002_9_46,ES.BDCA.AQD,-0.6900000000000001,37.99111110999999,EPSG:4979,ES2008A,STA_ES2008A,TORREVIEJA,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:20:56+01:00,2021-12-04 16:43:35+01:00,2,1,3,10,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_35016014_9_49,ES.BDCA.AQD,-15.4228,28.10329999999999,EPSG:4979,ES2097A,STA_ES2097A,SAN NICOLÁS,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:20:58+01:00,2021-12-04 16:43:36+01:00,20,1,3,115,ug/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_48027001_9_49,ES.BDCA.AQD,-2.63794,43.168319999999994,EPSG:4979,ES1490A,STA_ES1490A,DURANGO,ES.BDCA.AQD,2021-12-05 19:00:00+01:00,2021-12-05 20:00:00+01:00,2021-12-05 19:47:22+01:00,2021-12-05 21:51:03+01:00,5,1,3,113,ug/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_21050003_9_49,ES.BDCA.AQD,-6.80745,37.13379,EPSG:4979,ES1792A,STA_ES1792A,MAZAGON,ES.BDCA.AQD,2021-12-06 01:00:00+01:00,2021-12-06 02:00:00+01:00,2021-12-06 01:57:45+01:00,2021-12-06 02:53:08+01:00,1,1,3,31,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_35022003_9_49,ES.BDCA.AQD,-15.427599999999998,27.815499999999993,EPSG:4979,ES2113A,STA_ES2113A,ITC,ES.BDCA.AQD,2021-12-04 21:00:00+01:00,2021-12-04 22:00:00+01:00,2021-12-04 22:00:41+01:00,2021-12-04 22:53:57+01:00,18,1,3,15,ug/m3
ES,NET_ES218A,CA Ceuta,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_51001001_9_49,ES.BDCA.AQD,-5.3147,35.892999999999994,EPSG:4979,ES2100A,STA_ES2100A,PUERTO ESPAÑA,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:20:59+01:00,2021-12-04 16:43:37+01:00,7.46,1,3,1,ug/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_11008008_9_49,ES.BDCA.AQD,-5.43576,36.190479999999994,EPSG:4979,ES1076A,STA_ES1076A,CORTIJILLOS,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:21:04+01:00,2021-12-04 17:06:48+01:00,11,1,3,26,ug/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_21041017_9_49,ES.BDCA.AQD,-6.924620000000001,37.27148,EPSG:4979,ES1658A,STA_ES1658A,CAMPUS DEL CARMEN,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:21:07+01:00,2021-12-04 17:06:54+01:00,2,1,3,48,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_35022003_9_49,ES.BDCA.AQD,-15.427599999999998,27.815499999999993,EPSG:4979,ES2113A,STA_ES2113A,ITC,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:21:10+01:00,2021-12-04 16:43:43+01:00,23,1,3,15,ug/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_46250030_9_46,ES.BDCA.AQD,-0.37583333,39.45611111,EPSG:4979,ES1239A,STA_ES1239A,VALÈNCIA-PISTA DE SILLA,ES.BDCA.AQD,2021-12-04 13:00:00+01:00,2021-12-04 14:00:00+01:00,2021-12-04 15:57:12+01:00,2021-12-04 16:20:12+01:00,1,1,3,11,ug/m3
